code,tradeStatus,code_name
sh.600004,1,白云机场
sh.600007,1,中国国贸
sh.600009,1,上海机场
sh.600011,1,华能国际
sh.600015,1,华夏银行
sh.600017,1,日照港
sh.600019,1,宝钢股份
sh.600021,1,上海电力
sh.600023,1,浙能电力
sh.600026,1,中远海能
sh.600028,1,中国石化
sh.600030,1,中信证券
sh.600032,1,浙江新能
sh.600035,1,楚天高速
sh.600037,1,歌华有线
sh.600039,1,四川路桥
sh.600050,1,中国联通
sh.600052,1,东望时代
sh.600054,1,黄山旅游
sh.600056,1,中国医药
sh.600058,1,五矿发展
sh.600060,1,海信视像
sh.600062,1,华润双鹤
sh.600064,1,南京高科
sh.600067,1,冠城大通
sh.600071,1,凤凰光学
sh.600073,1,上海梅林
sh.600076,1,康欣新材
sh.600078,1,*ST澄星
sh.600080,1,金花股份
sh.600082,1,海泰发展
sh.600084,1,中葡股份
sh.600088,1,中视传媒
sh.600094,1,大名城
sh.600096,1,云天化
sh.600098,1,广州发展
sh.600100,1,同方股份
sh.600103,1,青山纸业
sh.600105,1,永鼎股份
sh.600107,1,美尔雅
sh.600109,1,国金证券
sh.600111,1,北方稀土
sh.600113,1,浙江东日
sh.600115,1,中国东航
sh.600117,1,西宁特钢
sh.600119,1,长江投资
sh.600121,1,郑州煤电
sh.600123,1,兰花科创
sh.600126,1,杭钢股份
sh.600128,1,弘业股份
sh.600130,1,波导股份
sh.600132,1,重庆啤酒
sh.600135,1,乐凯胶片
sh.600137,1,浪莎股份
sh.600139,1,*ST西源
sh.600143,1,金发科技
sh.600149,1,廊坊发展
sh.600151,1,航天机电
sh.600153,1,建发股份
sh.600156,1,华升股份
sh.600158,1,中体产业
sh.600160,1,巨化股份
sh.600162,1,香江控股
sh.600165,1,新日恒力
sh.600167,1,联美控股
sh.600169,1,太原重工
sh.600171,1,上海贝岭
sh.600173,1,卧龙地产
sh.600177,1,雅戈尔
sh.600179,1,安通控股
sh.600182,1,S*ST佳通
sh.600184,1,光电股份
sh.600186,1,莲花健康
sh.600188,1,兖矿能源
sh.600190,1,锦州港
sh.600192,1,长城电工
sh.600195,1,中牧股份
sh.600197,1,伊力特
sh.600199,1,金种子酒
sh.600201,1,生物股份
sh.600203,1,福日电子
sh.600207,1,安彩高科
sh.600210,1,紫江企业
sh.600212,1,江泉实业
sh.600215,1,派斯林
sh.600217,1,中再资环
sh.600219,1,南山铝业
sh.600221,1,ST海航
sh.600223,1,鲁商发展
sh.600226,1,ST瀚叶
sh.600228,1,返利科技
sh.600230,1,沧州大化
sh.600232,1,金鹰股份
sh.600234,1,科新发展
sh.600236,1,桂冠电力
sh.600238,1,海南椰岛
sh.600241,1,ST时万
sh.600243,1,青海华鼎
sh.600248,1,陕西建工
sh.600250,1,南纺股份
sh.600252,1,中恒集团
sh.600256,1,广汇能源
sh.600258,1,首旅酒店
sh.600260,1,*ST凯乐
sh.600262,1,北方股份
sh.600266,1,城建发展
sh.600268,1,国电南自
sh.600271,1,航天信息
sh.600273,1,嘉化能源
sh.600277,1,亿利洁能
sh.600279,1,重庆港
sh.600281,1,华阳新材
sh.600283,1,钱江水利
sh.600285,1,羚锐制药
sh.600288,1,大恒科技
sh.600290,1,ST华仪
sh.600293,1,三峡新材
sh.600297,1,广汇汽车
sh.600299,1,安迪苏
sh.600301,1,南化股份
sh.600303,1,ST曙光
sh.600306,1,ST商城
sh.600308,1,华泰股份
sh.600310,1,桂东电力
sh.600312,1,平高电气
sh.600315,1,上海家化
sh.600318,1,新力金融
sh.600320,1,振华重工
sh.600322,1,天房发展
sh.600325,1,华发股份
sh.600327,1,大东方
sh.600329,1,达仁堂
sh.600331,1,宏达股份
sh.600333,1,长春燃气
sh.600336,1,澳柯玛
sh.600338,1,西藏珠峰
sh.600340,1,华夏幸福
sh.600345,1,长江通信
sh.600348,1,华阳股份
sh.600351,1,亚宝药业
sh.600353,1,旭光电子
sh.600355,1,精伦电子
sh.600358,1,国旅联合
sh.600360,1,华微电子
sh.600362,1,江西铜业
sh.600365,1,ST通葡
sh.600367,1,红星发展
sh.600369,1,西南证券
sh.600371,1,万向德农
sh.600373,1,中文传媒
sh.600376,1,首开股份
sh.600378,1,昊华科技
sh.600380,1,健康元
sh.600382,1,ST广珠
sh.600386,1,北巴传媒
sh.600388,1,ST龙净
sh.600390,1,五矿资本
sh.600392,1,盛和资源
sh.600395,1,盘江股份
sh.600397,1,安源煤业
sh.600399,1,抚顺特钢
sh.600403,1,大有能源
sh.600406,1,国电南瑞
sh.600409,1,三友化工
sh.600415,1,小商品城
sh.600418,1,江淮汽车
sh.600420,1,国药现代
sh.600422,1,昆药集团
sh.600425,1,青松建化
sh.600428,1,中远海特
sh.600433,1,冠豪高新
sh.600436,1,片仔癀
sh.600439,1,瑞贝卡
sh.600446,1,金证股份
sh.600449,1,宁夏建材
sh.600455,1,博通股份
sh.600458,1,时代新材
sh.600460,1,士兰微
sh.600462,1,ST九有
sh.600466,1,蓝光发展
sh.600468,1,百利电气
sh.600470,1,六国化工
sh.600476,1,湘邮科技
sh.600478,1,科力远
sh.600480,1,凌云股份
sh.600482,1,中国动力
sh.600486,1,扬农化工
sh.600488,1,天药股份
sh.600490,1,鹏欣资源
sh.600493,1,凤竹纺织
sh.600496,1,精工钢构
sh.600498,1,烽火通信
sh.600500,1,中化国际
sh.600502,1,安徽建工
sh.600505,1,西昌电力
sh.600507,1,方大特钢
sh.600509,1,天富能源
sh.600511,1,国药股份
sh.600513,1,联环药业
sh.600516,1,方大炭素
sh.600518,1,ST康美
sh.600520,1,文一科技
sh.600522,1,中天科技
sh.600525,1,长园集团
sh.600527,1,江南高纤
sh.600529,1,山东药玻
sh.600531,1,豫光金铅
sh.600533,1,栖霞建设
sh.600536,1,中国软件
sh.600538,1,国发股份
sh.600540,1,新赛股份
sh.600545,1,卓郎智能
sh.600547,1,山东黄金
sh.600549,1,厦门钨业
sh.600551,1,时代出版
sh.600556,1,天下秀
sh.600558,1,大西洋
sh.600560,1,金自天正
sh.600562,1,国睿科技
sh.600565,1,迪马股份
sh.600567,1,山鹰国际
sh.600569,1,安阳钢铁
sh.600571,1,信雅达
sh.600573,1,惠泉啤酒
sh.600576,1,祥源文化
sh.600578,1,京能电力
sh.600580,1,卧龙电驱
sh.600582,1,天地科技
sh.600584,1,长电科技
sh.600586,1,金晶科技
sh.600588,1,用友网络
sh.600590,1,泰豪科技
sh.600593,1,大连圣亚
sh.600595,1,中孚实业
sh.600597,1,光明乳业
sh.600599,1,ST熊猫
sh.600601,1,*ST方科
sh.600603,1,广汇物流
sh.600605,1,汇通能源
sh.600608,1,ST沪科
sh.600610,1,中毅达
sh.600612,1,老凤祥
sh.600615,1,*ST丰华
sh.600617,1,国新能源
sh.600619,1,海立股份
sh.600621,1,华鑫股份
sh.600623,1,华谊集团
sh.600626,1,申达股份
sh.600629,1,华建集团
sh.600633,1,浙数文化
sh.600636,1,国新文化
sh.600638,1,新黄浦
sh.600640,1,新国脉
sh.600642,1,申能股份
sh.600644,1,乐山电力
sh.600647,0,同达创业
sh.600649,1,城投控股
sh.600651,1,飞乐音响
sh.600654,1,*ST中安
sh.600657,1,信达地产
sh.600660,1,福耀玻璃
sh.600662,1,外服控股
sh.600664,1,哈药股份
sh.600666,1,*ST瑞德
sh.600668,1,尖峰集团
sh.600673,1,东阳光
sh.600675,1,中华企业
sh.600678,1,四川金顶
sh.600681,1,百川能源
sh.600683,1,京投发展
sh.600685,1,中船防务
sh.600688,1,上海石化
sh.600690,1,海尔智家
sh.600692,1,亚通股份
sh.600694,1,大商股份
sh.600697,1,欧亚集团
sh.600699,1,均胜电子
sh.600703,1,三安光电
sh.600705,1,中航产融
sh.600707,1,彩虹股份
sh.600710,1,苏美达
sh.600712,1,南宁百货
sh.600714,1,金瑞矿业
sh.600716,1,凤凰股份
sh.600718,1,东软集团
sh.600720,1,祁连山
sh.600722,1,金牛化工
sh.600725,1,云维股份
sh.600727,1,鲁北化工
sh.600729,1,重庆百货
sh.600731,1,湖南海利
sh.600733,1,北汽蓝谷
sh.600735,1,新华锦
sh.600737,1,中粮糖业
sh.600739,1,辽宁成大
sh.600741,1,华域汽车
sh.600743,1,华远地产
sh.600745,1,闻泰科技
sh.600748,1,上实发展
sh.600750,1,江中药业
sh.600753,1,东方银星
sh.600755,1,厦门国贸
sh.600757,1,长江传媒
sh.600759,1,ST洲际
sh.600761,1,安徽合力
sh.600764,1,中国海防
sh.600766,1,*ST园城
sh.600768,1,宁波富邦
sh.600770,1,综艺股份
sh.600773,1,西藏城投
sh.600775,1,南京熊猫
sh.600777,1,新潮能源
sh.600779,1,水井坊
sh.600781,1,ST辅仁
sh.600783,1,鲁信创投
sh.600785,1,新华百货
sh.600789,1,鲁抗医药
sh.600791,1,京能置业
sh.600793,1,宜宾纸业
sh.600795,1,国电电力
sh.600797,1,浙大网新
sh.600800,1,渤海化学
sh.600802,1,福建水泥
sh.600804,1,ST鹏博士
sh.600807,1,济南高新
sh.600809,1,山西汾酒
sh.600811,1,东方集团
sh.600814,1,杭州解百
sh.600816,1,ST安信
sh.600818,1,中路股份
sh.600820,1,隧道股份
sh.600822,1,上海物贸
sh.600824,1,益民集团
sh.600826,1,兰生股份
sh.600828,1,茂业商业
sh.600830,1,香溢融通
sh.600833,1,第一医药
sh.600835,1,上海机电
sh.600837,1,海通证券
sh.600839,1,四川长虹
sh.600843,1,上工申贝
sh.600845,1,宝信软件
sh.600847,1,万里股份
sh.600850,1,电科数字
sh.600853,1,龙建股份
sh.600855,1,航天长峰
sh.600858,1,银座股份
sh.600860,1,京城股份
sh.600862,1,中航高科
sh.600864,1,哈投股份
sh.600866,1,星湖科技
sh.600868,1,梅雁吉祥
sh.600871,1,石化油服
sh.600873,1,梅花生物
sh.600875,1,东方电气
sh.600877,1,声光电科
sh.600880,1,博瑞传播
sh.600882,1,妙可蓝多
sh.600884,1,杉杉股份
sh.600886,1,国投电力
sh.600888,1,新疆众和
sh.600892,1,大晟文化
sh.600894,1,广日股份
sh.600896,0,*ST海医
sh.600898,1,国美通讯
sh.600901,1,江苏租赁
sh.600905,1,三峡能源
sh.600908,1,无锡银行
sh.600916,1,中国黄金
sh.600918,1,中泰证券
sh.600926,1,杭州银行
sh.600928,1,西安银行
sh.600933,1,爱柯迪
sh.600936,1,广西广电
sh.600939,1,重庆建工
sh.600955,1,维远股份
sh.600958,1,东方证券
sh.600960,1,渤海汽车
sh.600962,1,国投中鲁
sh.600965,1,福成股份
sh.600967,1,内蒙一机
sh.600969,1,郴电国际
sh.600971,1,恒源煤电
sh.600975,1,新五丰
sh.600977,1,中国电影
sh.600980,1,北矿科技
sh.600982,1,宁波能源
sh.600984,1,建设机械
sh.600986,1,浙文互联
sh.600988,1,赤峰黄金
sh.600990,1,四创电子
sh.600993,1,马应龙
sh.600996,1,贵广网络
sh.600998,1,九州通
sh.601000,1,唐山港
sh.601002,1,晋亿实业
sh.601005,1,重庆钢铁
sh.601007,1,金陵饭店
sh.601009,1,南京银行
sh.601011,1,宝泰隆
sh.601015,1,陕西黑猫
sh.601018,1,宁波港
sh.601020,1,华钰矿业
sh.601028,1,玉龙股份
sh.601058,1,赛轮轮胎
sh.601068,1,中铝国际
sh.601077,1,渝农商行
sh.601088,1,中国神华
sh.601099,1,太平洋
sh.601101,1,昊华能源
sh.601107,1,四川成渝
sh.601111,1,中国国航
sh.601116,1,三江购物
sh.601118,1,海南橡胶
sh.601127,1,小康股份
sh.601137,1,博威合金
sh.601139,1,深圳燃气
sh.601156,1,东航物流
sh.601162,1,天风证券
sh.601166,1,兴业银行
sh.601169,1,北京银行
sh.601179,1,中国西电
sh.601187,1,厦门银行
sh.601198,1,东兴证券
sh.601200,1,上海环境
sh.601211,1,国泰君安
sh.601216,1,君正集团
sh.601222,1,林洋能源
sh.601226,1,华电重工
sh.601229,1,上海银行
sh.601233,1,桐昆股份
sh.601238,1,广汽集团
sh.601279,1,英利汽车
sh.601298,1,青岛港
sh.601318,1,中国平安
sh.601326,1,秦港股份
sh.601330,1,绿色动力
sh.601336,1,新华保险
sh.601360,1,三六零
sh.601368,1,绿城水务
sh.601375,1,中原证券
sh.601388,1,怡球资源
sh.601398,1,工商银行
sh.601456,1,国联证券
sh.601512,1,中新集团
sh.601518,1,吉林高速
sh.601528,1,瑞丰银行
sh.601566,1,九牧王
sh.601568,1,北元集团
sh.601579,1,会稽山
sh.601595,1,上海电影
sh.601599,1,浙文影业
sh.601601,1,中国太保
sh.601607,1,上海医药
sh.601609,1,金田铜业
sh.601615,1,明阳智能
sh.601618,1,中国中冶
sh.601628,1,中国人寿
sh.601636,1,旗滨集团
sh.601665,1,齐鲁银行
sh.601668,1,中国建筑
sh.601677,1,明泰铝业
sh.601686,1,友发集团
sh.601689,1,拓普集团
sh.601698,1,中国卫通
sh.601700,0,风范股份
sh.601717,1,郑煤机
sh.601727,1,上海电气
sh.601766,1,中国中车
sh.601778,1,晶科科技
sh.601789,1,宁波建工
sh.601799,1,星宇股份
sh.601801,1,皖新传媒
sh.601811,1,新华文轩
sh.601818,1,光大银行
sh.601827,1,三峰环境
sh.601838,1,成都银行
sh.601858,1,中国科传
sh.601865,1,福莱特
sh.601868,1,中国能建
sh.601872,1,招商轮船
sh.601878,1,浙商证券
sh.601881,1,中国银河
sh.601886,1,江河集团
sh.601890,1,亚星锚链
sh.601899,1,紫金矿业
sh.601901,1,方正证券
sh.601916,1,浙商银行
sh.601919,1,中远海控
sh.601928,1,凤凰传媒
sh.601933,1,永辉超市
sh.601949,1,中国出版
sh.601956,1,东贝集团
sh.601963,1,重庆银行
sh.601966,1,玲珑轮胎
sh.601969,1,海南矿业
sh.601985,1,中国核电
sh.601989,1,中国重工
sh.601991,1,大唐发电
sh.601995,1,中金公司
sh.601997,1,贵阳银行
sh.601999,1,出版传媒
sh.603001,1,奥康国际
sh.603003,1,龙宇燃油
sh.603006,1,联明股份
sh.603008,1,喜临门
sh.603010,1,万盛股份
sh.603012,1,创力集团
sh.603015,1,弘讯科技
sh.603017,1,中衡设计
sh.603019,1,中科曙光
sh.603021,1,山东华鹏
sh.603023,1,威帝股份
sh.603026,1,石大胜华
sh.603028,1,赛福天
sh.603030,1,全筑股份
sh.603032,1,德新交运
sh.603035,1,常熟汽饰
sh.603037,1,凯众股份
sh.603039,1,ST泛微
sh.603041,1,美思德
sh.603043,1,广州酒家
sh.603048,1,浙江黎明
sh.603051,1,鹿山新材
sh.603055,1,台华新材
sh.603058,1,永吉股份
sh.603060,1,国检集团
sh.603066,1,音飞储存
sh.603068,1,博通集成
sh.603070,1,万控智造
sh.603076,1,乐惠国际
sh.603078,1,江化微
sh.603080,1,新疆火炬
sh.603083,1,剑桥科技
sh.603086,1,先达股份
sh.603088,1,宁波精达
sh.603090,1,宏盛股份
sh.603095,1,越剑智能
sh.603097,1,江苏华辰
sh.603099,1,长白山
sh.603101,1,汇嘉时代
sh.603103,1,横店影视
sh.603106,1,恒银科技
sh.603109,1,神驰机电
sh.603111,1,康尼机电
sh.603113,1,金能科技
sh.603116,1,红蜻蜓
sh.603118,1,共进股份
sh.603122,1,合富中国
sh.603126,1,中材节能
sh.603128,1,华贸物流
sh.603131,1,上海沪工
sh.603133,1,碳元科技
sh.603138,1,海量数据
sh.603150,1,万朗磁塑
sh.603156,1,养元饮品
sh.603159,1,上海亚虹
sh.603161,1,科华控股
sh.603166,1,福达股份
sh.603168,1,莎普爱思
sh.603170,1,
sh.603176,1,汇通集团
sh.603178,1,圣龙股份
sh.603180,1,金牌厨柜
sh.603183,1,建研院
sh.603186,1,华正新材
sh.603188,1,亚邦股份
sh.603191,1,望变电气
sh.603195,1,公牛集团
sh.603197,1,保隆科技
sh.603199,1,九华旅游
sh.603203,1,快克股份
sh.603208,1,江山欧派
sh.603212,1,赛伍技术
sh.603214,1,爱婴室
sh.603216,1,梦天家居
sh.603218,1,日月股份
sh.603220,1,中贝通信
sh.603222,1,济民医疗
sh.603225,1,新凤鸣
sh.603227,1,雪峰科技
sh.603229,1,奥翔药业
sh.603232,1,格尔软件
sh.603235,1,
sh.603238,1,诺邦股份
sh.603256,1,宏和科技
sh.603259,1,药明康德
sh.603261,1,立航科技
sh.603267,1,鸿远电子
sh.603269,1,海鸥股份
sh.603277,1,银都股份
sh.603279,1,景津装备
sh.603286,1,日盈电子
sh.603289,1,泰瑞机器
sh.603297,1,永新光学
sh.603299,1,苏盐井神
sh.603301,1,振德医疗
sh.603305,1,旭升股份
sh.603308,1,应流股份
sh.603311,1,金海高科
sh.603315,1,福鞍股份
sh.603317,1,天味食品
sh.603319,1,湘油泵
sh.603321,1,梅轮电梯
sh.603323,1,苏农银行
sh.603326,1,我乐家居
sh.603328,1,依顿电子
sh.603330,1,上海天洋
sh.603332,1,苏州龙杰
sh.603335,1,迪生力
sh.603337,1,杰克股份
sh.603339,1,四方科技
sh.603348,1,文灿股份
sh.603353,1,和顺石油
sh.603356,1,华菱精工
sh.603358,1,华达科技
sh.603360,1,百傲化学
sh.603365,1,水星家纺
sh.603367,1,辰欣药业
sh.603369,1,今世缘
sh.603378,1,亚士创能
sh.603380,1,易德龙
sh.603385,1,惠达卫浴
sh.603387,1,基蛋生物
sh.603389,1,亚振家居
sh.603392,1,万泰生物
sh.603396,1,金辰股份
sh.603399,1,吉翔股份
sh.603416,1,信捷电气
sh.603429,1,集友股份
sh.603444,1,吉比特
sh.603458,1,勘设股份
sh.603477,1,巨星农牧
sh.603488,1,展鹏科技
sh.603496,1,恒为科技
sh.603500,1,祥和实业
sh.603505,1,金石资源
sh.603507,1,振江股份
sh.603511,1,爱慕股份
sh.603516,1,淳中科技
sh.603518,1,锦泓集团
sh.603520,1,司太立
sh.603528,1,多伦科技
sh.603530,1,神马电力
sh.603535,1,嘉诚国际
sh.603538,1,美诺华
sh.603555,1,贵人鸟
sh.603557,1,ST起步
sh.603559,1,中通国脉
sh.603566,1,普莱柯
sh.603568,1,伟明环保
sh.603577,1,汇金通
sh.603579,1,荣泰健康
sh.603583,1,捷昌驱动
sh.603586,1,金麒麟
sh.603588,1,高能环境
sh.603590,1,康辰药业
sh.603596,1,伯特利
sh.603599,1,广信股份
sh.603601,1,再升科技
sh.603603,1,*ST博天
sh.603606,1,东方电缆
sh.603608,1,天创时尚
sh.603610,1,麒盛科技
sh.603612,1,索通发展
sh.603615,1,茶花股份
sh.603617,1,君禾股份
sh.603619,1,中曼石油
sh.603628,1,清源股份
sh.603630,1,拉芳家化
sh.603636,1,南威软件
sh.603638,1,艾迪精密
sh.603648,1,畅联股份
sh.603655,1,朗博科技
sh.603657,1,春光科技
sh.603659,1,璞泰来
sh.603661,1,恒林股份
sh.603663,1,三祥新材
sh.603666,1,亿嘉和
sh.603668,1,天马科技
sh.603676,1,卫信康
sh.603678,1,火炬电子
sh.603680,1,今创集团
sh.603682,1,锦和商管
sh.603685,1,晨丰科技
sh.603687,1,大胜达
sh.603689,1,皖天然气
sh.603693,1,江苏新能
sh.603697,1,有友食品
sh.603699,1,纽威股份
sh.603701,1,德宏股份
sh.603706,1,东方环宇
sh.603708,1,家家悦
sh.603711,1,香飘飘
sh.603713,1,密尔克卫
sh.603717,1,天域生态
sh.603719,1,良品铺子
sh.603722,1,阿科力
sh.603726,1,朗迪集团
sh.603728,1,鸣志电器
sh.603730,1,岱美股份
sh.603737,1,三棵树
sh.603739,1,蔚蓝生物
sh.603757,1,大元泵业
sh.603759,1,海天股份
sh.603767,1,中马传动
sh.603773,1,沃格光电
sh.603777,1,来伊份
sh.603779,1,威龙股份
sh.603787,1,新日股份
sh.603789,1,星光农机
sh.603797,1,联泰环保
sh.603799,1,华友钴业
sh.603801,1,志邦家居
sh.603806,1,福斯特
sh.603809,1,豪能股份
sh.603811,1,诚意药业
sh.603815,1,交建股份
sh.603817,1,海峡环保
sh.603819,1,神力股份
sh.603823,1,百合花
sh.603826,1,坤彩科技
sh.603829,1,洛凯股份
sh.603836,1,海程邦达
sh.603839,1,安正时尚
sh.603848,1,好太太
sh.603856,1,东宏股份
sh.603859,1,能科科技
sh.603861,1,白云电器
sh.603866,1,桃李面包
sh.603868,1,飞科电器
sh.603871,1,嘉友国际
sh.603877,1,太平鸟
sh.603879,1,永悦科技
sh.603881,1,数据港
sh.603883,1,老百姓
sh.603886,1,元祖股份
sh.603888,1,新华网
sh.603890,1,春秋电子
sh.603895,1,天永智能
sh.603897,1,长城科技
sh.603899,1,晨光股份
sh.603901,1,永创智能
sh.603906,1,龙蟠科技
sh.603909,1,建发合诚
sh.603915,1,国茂股份
sh.603917,1,合力科技
sh.603919,1,金徽酒
sh.603922,1,金鸿顺
sh.603927,1,中科软
sh.603929,1,亚翔集成
sh.603933,1,睿能科技
sh.603937,1,丽岛新材
sh.603939,1,益丰药房
sh.603949,1,雪龙集团
sh.603955,1,大千生态
sh.603958,1,哈森股份
sh.603960,1,克来机电
sh.603966,1,法兰泰克
sh.603968,1,醋化股份
sh.603970,1,中农立华
sh.603977,1,国泰集团
sh.603979,1,金诚信
sh.603982,1,泉峰汽车
sh.603985,1,恒润股份
sh.603987,1,康德莱
sh.603989,1,艾华集团
sh.603991,1,至正股份
sh.603993,1,洛阳钼业
sh.603997,1,继峰股份
sh.603999,1,读者传媒
sh.605003,1,众望布艺
sh.605006,1,山东玻纤
sh.605008,1,长鸿高科
sh.605011,1,杭州热电
sh.605018,1,长华股份
sh.605028,1,世茂能源
sh.605050,1,福然德
sh.605056,1,咸亨国际
sh.605060,1,联德股份
sh.605068,1,明新旭腾
sh.605077,1,华康股份
